YEAR,CPI,SALARIES,REVENUE,EXPENDITURE,TAX_FREE_INCOME_TOTAL
2017,1,1,1,1,1
2018,1,1,1.01,1.01,1.01
2019,1,1,1.01,1.01,1.01
2020,1,1,0.99,0.99,0.99
2021,1,1,1,1,1
2022,1,1,1.01,1.01,1.01
2023,1,1,1.01,1.01,1.01
